PSCL	EXPR	MODE	PACKETS	OUT_TIME	W	LOCK_MODE	S	N
32	PACKET_2	serial	131072	1128.206909	4000	8	1	1
32	PACKET_2	parallel	65536	637.737976	4000	8	1	2
32	PACKET_2	serial	131072	1121.050659	4000	8	1	2
32	PACKET_2	parallel	43690	426.351990	4000	8	1	3
32	PACKET_2	serial	131072	1121.678955	4000	8	1	3
32	PACKET_2	parallel	18724	200.544678	4000	8	1	7
32	PACKET_2	serial	131072	1119.365723	4000	8	1	7
32	PACKET_2	parallel	8738	120.159332	4000	8	1	15
32	PACKET_2	serial	131072	1124.486328	4000	8	1	15
32	PACKET_2	parallel	131072	1219.990967	4000	8	4	1
32	PACKET_2	serial	131072	1126.840088	4000	8	4	1
32	PACKET_2	parallel	65536	667.139709	4000	8	4	2
32	PACKET_2	serial	131072	1118.420288	4000	8	4	2
32	PACKET_2	parallel	43690	474.412659	4000	8	4	3
32	PACKET_2	serial	131072	1123.690063	4000	8	4	3
32	PACKET_2	parallel	18724	264.852661	4000	8	4	7
32	PACKET_2	serial	131072	1119.642944	4000	8	4	7
32	PACKET_2	parallel	8738	265.445007	4000	8	4	15
32	PACKET_2	serial	131072	1120.414307	4000	8	4	15
32	PACKET_2	parallel	131072	1188.209961	4000	8	8	1
32	PACKET_2	serial	131072	1126.303345	4000	8	8	1
32	PACKET_2	parallel	65536	623.823303	4000	8	8	2
32	PACKET_2	serial	131072	1124.802368	4000	8	8	2
32	PACKET_2	parallel	43690	437.583008	4000	8	8	3
32	PACKET_2	serial	131072	1133.161987	4000	8	8	3
32	PACKET_2	parallel	18724	198.911316	4000	8	8	7
32	PACKET_2	serial	131072	1129.410034	4000	8	8	7
32	PACKET_2	parallel	8738	112.453003	4000	8	8	15
32	PACKET_2	serial	131072	1133.527344	4000	8	8	15
32	PACKET_2	parallel	131072	2317.852295	8000	8	1	1
32	PACKET_2	serial	131072	2247.666504	8000	8	1	1
32	PACKET_2	parallel	65536	1188.664673	8000	8	1	2
32	PACKET_2	serial	131072	2247.943848	8000	8	1	2
32	PACKET_2	parallel	43690	831.427734	8000	8	1	3
32	PACKET_2	serial	131072	2260.916016	8000	8	1	3
32	PACKET_2	parallel	18724	376.807648	8000	8	1	7
32	PACKET_2	serial	131072	2241.966309	8000	8	1	7
32	PACKET_2	parallel	8738	184.068665	8000	8	1	15
32	PACKET_2	serial	131072	2236.225830	8000	8	1	15
